sku	price	quantity	handling-time	merchant_shipping_group_name
angels71655	133.41	109	2	1-3
angels71656	133.41	109	2	1-3
angels71657	133.41	109	2	2-4
angels71658	43.2	109	2	1-3
angels71659	41.93	109	2	1-3
angels71660		0	4	2-4
angels71661		0	4	2-4
angels71662		0	4	2-4
angels71663	69.88	109	2	1-3
angels71664	69.88	109	2	1-3
angels71665	133.41	109	2	1-3
angels71666	133.41	109	2	1-3
angels71667	39.39	109	2	1-3
angels71668	115.62	109	2	1-3
angels71669	74.96	109	2	1-3
angels71670		0	4	2-4
angels71671	133.41	109	2	1-3
angels71672	133.41	109	2	2-4
angels71673		0	4	2-4
angels71674		0	4	2-4
angels71675	133.41	109	2	1-3
angels71676	133.41	109	2	1-3
angels71677	133.41	109	2	2-4
angels71678	101.65	109	2	1-3
angels71679	133.41	109	2	1-3
angels71680	72.42	109	2	1-3
angels71681	133.41	109	2	2-4
angels71682	124.52	109	2	1-3
angels71683		0	4	2-4
angels71684	133.41	109	2	1-3
angels71685	133.41	109	2	1-3
angels71686	71.15	109	2	1-3
angels71687	108.0	109	2	1-3
angels71688	128.33	109	2	1-3
angels71689	118.16	109	2	1-3
angels71690	129.6	109	2	1-3
angels71691	133.41	109	2	1-3
angels71692	40.66	109	2	1-3
angels71693		0	4	2-4
angels71694		0	4	2-4
angels71695	133.41	109	2	1-3
angels71696	133.41	109	2	1-3
angels71697	133.41	109	2	1-3
angels71698		0	4	2-4
angels71699		0	4	2-4
angels71700	133.41	109	2	1-3
angels71701	133.41	109	2	1-3
angels71702	133.41	109	2	1-3
angels71703	133.41	109	2	1-3
angels71704	133.41	109	2	1-3
angels71705	133.41	109	2	1-3
angels71706	133.41	109	2	2-4
angels71707	133.41	109	2	2-4
angels71708	133.41	109	2	1-3
angels71709	133.41	109	2	1-3
angels71710	72.42	109	2	1-3
angels71711	133.41	109	2	1-3
angels71712		0	4	2-4
angels71713	62.26	109	2	1-3
angels71714	33.04	109	2	1-3
angels71715	52.09	109	2	1-3
angels71716	133.41	109	2	1-3
angels71717	105.46	109	2	1-3
angels71718		0	4	2-4
angels71719		0	4	2-4
angels71720	133.41	109	2	1-3
angels71721		0	4	2-4
angels71722	133.41	109	2	1-3
angels71723	102.92	109	2	1-3
angels71724		0	4	2-4
angels71725		0	4	2-4
angels71726		0	4	2-4
angels71727	133.41	109	2	1-3
angels71728	133.41	109	2	2-4
angels71729	133.41	109	2	1-3
angels71730	31.76	109	2	1-3
angels71731	133.41	109	2	1-3
angels71732	133.41	109	2	1-3
angels71733	133.41	109	2	1-3
angels71734		0	4	2-4
angels71735	49.55	109	2	1-3
angels71736	133.41	109	2	1-3
angels71737	133.41	109	2	1-3
angels71738	99.11	109	2	1-3
angels71739		0	4	2-4
angels71740		0	4	2-4
angels71741	54.64	109	2	1-3
angels71742	26.68	109	2	1-3
angels71743		0	4	2-4
angels71744	129.6	109	2	1-3
angels71745	133.41	109	2	1-3
angels71746	133.41	109	2	1-3
angels71747	133.41	109	2	1-3
angels71748		0	4	2-4
angels71749		0	4	2-4
angels71750	133.41	109	2	1-3
angels71751	26.68	109	2	1-3
angels71752	133.41	109	2	1-3
angels71753		0	4	2-4
angels71754		0	4	2-4
angels71755	133.41	109	2	1-3
angels71756	52.09	109	2	1-3
angels71757	133.41	109	2	2-4
angels71758		0	4	2-4
angels71759		0	4	2-4
angels71760		0	4	2-4
angels71761		0	4	2-4
angels71762		5	4	2-4
angels71763		1	4	2-4
angels71767		109	4	2-4
angels71768		0	4	2-4
angels71769	43.29	109	4	2-4
angels71770		0	4	2-4
angels71776	104.19	109	2	2-4
angels71777		0	4	2-4
angels71778	81.32	109	2	1-3
angels71779		0	4	2-4
angels71780	17.79	109	2	1-3
angels71781	52.09	109	2	1-3
angels71782	133.41	109	2	1-3
angels71783	11.44	4	2	1-3
angels71784	133.41	109	2	1-3
angels71785	133.41	109	2	1-3
angels71786	133.41	109	2	1-3
angels71787	133.41	109	2	1-3
angels71788	110.54	109	2	1-3
angels71789	133.41	109	2	1-3
angels71790	133.41	109	2	1-3
angels71791	133.41	109	2	1-3
angels71792	58.45	109	2	1-3
angels71793	133.41	109	2	1-3
angels71794	73.69	109	2	1-3
angels71795		0	4	2-4
angels71796		0	4	2-4
angels71797		109	4	2-4
angels71798	62.26	109	2	1-3
angels71799	64.8	109	2	1-3
angels71800	133.41	109	2	1-3
angels71801	133.41	109	2	1-3
angels71802	133.41	109	2	1-3
angels71803	133.41	109	2	1-3
angels71804	133.41	109	2	1-3
angels71805	133.41	109	2	1-3
angels71806	133.41	109	2	1-3
angels71807		0	4	2-4
